FoodItem,Category,Calories,Protein(g),Carbs(g),Fats(g),DietType,Recipe,BaseWeight(g)
Rice Cakes,Snack,80.0,2.0,16.0,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Rice Cakes. 3. Simmer covered for 15-20 mins until fluffy.,32
Lemon Pepper Black Beans,Lunch,112.2,7.4,20.0,0.0,Vegetarian,1. Gather your Lemon Pepper Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,68
Loaded Chicken Breast & Broccoli,Lunch,400.0,45.5,15.0,9.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Loaded Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,174
Buttermilk Caesar Salad,Lunch,420.0,11.0,18.0,33.0,Vegetarian,1. Gather your Buttermilk Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,155
Buttermilk Beef Stir Fry,Dinner,672.0,35.2,42.0,30.0,Non-Vegetarian,1. Gather your Buttermilk Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,268
Loaded Tuna Salad,Lunch,480.0,36.4,15.0,27.0,Non-Vegetarian,1. Gather your Loaded Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,196
Vegetable Curry,Dinner,300.0,8.0,30.0,15.0,Vegetarian,1. Gather your Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,132
BBQ Almonds,Snack,208.0,6.0,9.0,15.4,Vegetarian,1. Simply portion out your BBQ Almonds. 2. Store the rest in an airtight container for lasting freshness.,76
Teriyaki Quinoa Bowl,Lunch,400.0,14.7,72.0,10.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Teriyaki Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,242
Cheesy Quinoa,Lunch,308.0,9.6,42.9,4.8,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Cheesy Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,143
Lemon Pepper Chickpea Curry,Dinner,306.0,12.6,40.0,10.0,Vegetarian,1. Gather your Lemon Pepper Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,156
Spicy Tuna Sandwich,Lunch,420.0,28.0,38.5,15.8,Non-Vegetarian,1. Gather your Spicy Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,206
Loaded Lentil Soup,Dinner,288.0,13.0,45.0,3.6,Vegetarian,1. Gather your Loaded Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,154
BBQ Vegetable Curry,Dinner,390.0,8.0,45.0,16.5,Vegetarian,1. Gather your BBQ Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,174
Bacon Strips,Breakfast,130.0,9.0,0.0,10.0,Non-Vegetarian,1. Prepare the Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,34
Extra Lean Lentil Soup,Dinner,144.0,12.0,30.0,1.0,Vegetarian,1. Gather your Extra Lean Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,108
Loaded Cottage Cheese,Snack,192.0,18.2,7.5,7.2,Vegetarian,1. Simply portion out your Loaded Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,82
Loaded Protein Waffle,Breakfast,352.0,19.5,30.0,14.4,Vegetarian,1. Prepare the Loaded Protein Waffle base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,160
Loaded Sweet Potato,Dinner,176.0,2.6,39.0,0.0,Vegetarian,1. Gather your Loaded Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,104
Spicy Apple,Snack,99.8,0.5,27.5,0.3,Vegetarian,1. Simply portion out your Spicy Apple. 2. Store the rest in an airtight container for lasting freshness.,71
BBQ Quinoa,Lunch,286.0,8.0,58.5,3.3,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of BBQ Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,174
Teriyaki Shrimp Pasta,Dinner,600.0,31.5,88.0,12.0,Non-Vegetarian,1. Gather your Teriyaki Shrimp Pasta ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,329
Buttermilk Turkey Wrap,Lunch,490.0,27.5,42.0,18.0,Non-Vegetarian,1. Gather your Buttermilk Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,219
Cheesy Protein Waffle,Breakfast,308.0,18.0,22.0,12.8,Vegetarian,1. Prepare the Cheesy Protein Waffle base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,132
Teriyaki Mixed Dal,Lunch,275.0,14.7,56.0,4.0,Vegetarian,1. Gather your Teriyaki Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,187
Loaded Quinoa,Lunch,352.0,10.4,58.5,5.4,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Loaded Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,186
Cheesy Pancakes,Breakfast,350.0,7.2,38.5,16.0,Vegetarian,1. Prepare the Cheesy Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,154
Banana,Snack,105.0,1.0,27.0,0.0,Vegetarian,1. Simply portion out your Banana. 2. Store the rest in an airtight container for lasting freshness.,50
Caesar Salad,Lunch,300.0,10.0,15.0,22.0,Vegetarian,1. Gather your Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,118
Herb-Roasted Paneer,Dinner,368.0,18.9,5.2,30.0,Vegetarian,1. Cube the Herb-Roasted Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,135
Extra Lean Chicken Shawarma,Lunch,360.0,36.0,40.0,9.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Extra Lean Chicken Shawarma to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,212
Cajun White Rice,Lunch,235.7,4.0,48.4,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Cajun White Rice. 3. Simmer covered for 15-20 mins until fluffy.,131
Extra Lean Cottage Cheese,Snack,96.0,16.8,5.0,2.0,Vegetarian,1. Simply portion out your Extra Lean Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,60
Protein Smoothie,Breakfast,200.0,25.0,15.0,3.0,Vegetarian,1. Prepare the Protein Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,77
BBQ Quinoa Bowl,Lunch,416.0,14.0,67.5,11.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of BBQ Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,231
Chipotle Mashed Potatoes,Dinner,252.0,4.2,33.0,10.4,Vegetarian,1. Gather your Chipotle Mashed Potatoes ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,119
Loaded Tofu,Lunch,224.0,19.5,3.0,14.4,Vegetarian,1. Cube the Loaded Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,92
Sweet & Sour Baked Salmon,Dinner,585.0,35.0,17.0,28.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Sweet & Sour Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,200
Keto Chickpea Curry,Dinner,270.0,13.2,8.0,18.0,Vegetarian,1. Gather your Keto Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,98
Sweet & Sour Steak,Dinner,650.0,40.0,0.0,35.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Sweet & Sour Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,188
Sweet & Sour Beef Stir Fry,Dinner,624.0,32.0,59.5,20.0,Non-Vegetarian,1. Gather your Sweet & Sour Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,279
Teriyaki Apple,Snack,118.8,0.5,40.0,0.3,Vegetarian,1. Simply portion out your Teriyaki Apple. 2. Store the rest in an airtight container for lasting freshness.,102
BBQ Tofu Scramble,Breakfast,208.0,14.0,6.0,11.0,Vegetarian,1. Cube the BBQ Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,78
Extra Lean Pancakes,Breakfast,200.0,7.2,35.0,5.0,Vegetarian,1. Prepare the Extra Lean Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,118
Loaded Tofu Scramble,Breakfast,256.0,18.2,6.0,18.0,Vegetarian,1. Cube the Loaded Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,106
Buttermilk Cereal with Milk,Breakfast,294.0,8.8,42.0,6.0,Vegetarian,1. Prepare the Buttermilk Cereal with Milk base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,142
Cheesy Peanut Butter Toast,Snack,308.0,9.6,22.0,19.2,Vegetarian,1. Simply portion out your Cheesy Peanut Butter Toast. 2. Store the rest in an airtight container for lasting freshness.,127
Cereal with Milk,Breakfast,210.0,8.0,35.0,4.0,Vegetarian,1. Prepare the Cereal with Milk base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,85
BBQ Chicken Shawarma,Lunch,585.0,30.0,60.0,19.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the BBQ Chicken Shawarma to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,274
Cajun Hummus & Carrots,Snack,172.5,5.0,19.8,9.2,Vegetarian,1. Simply portion out your Cajun Hummus & Carrots. 2. Store the rest in an airtight container for lasting freshness.,85
Honey Glazed Pancakes,Breakfast,337.5,6.0,63.0,11.0,Vegetarian,1. Prepare the Honey Glazed Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,200
Buttermilk Chia Seed Pudding,Breakfast,266.0,8.8,24.0,15.0,Vegetarian,1. Prepare the Buttermilk Chia Seed Pudding base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,120
Tuna Salad,Lunch,300.0,28.0,10.0,15.0,Non-Vegetarian,1. Gather your Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,132
Smoked Salmon Fillet,Dinner,440.0,37.4,0.0,33.6,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Smoked Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,178
Pork Chop & Mash,Dinner,550.0,35.0,40.0,25.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,250
BBQ Baked Salmon,Dinner,585.0,35.0,15.0,30.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the BBQ Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,202
Honey Glazed Banana,Snack,141.8,1.0,48.6,0.0,Vegetarian,1. Simply portion out your Honey Glazed Banana. 2. Store the rest in an airtight container for lasting freshness.,124
Herb-Roasted Pork Chop & Mash,Dinner,632.5,36.8,42.0,30.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Herb-Roasted Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,272
Teriyaki Sweet Potato,Dinner,137.5,2.1,41.6,0.0,Vegetarian,1. Gather your Teriyaki Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,109
BBQ Turkey Wrap,Lunch,455.0,25.0,45.0,13.2,Non-Vegetarian,1. Gather your BBQ Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,208
Herb-Roasted Chickpea Curry,Dinner,345.0,12.6,42.0,12.0,Vegetarian,1. Gather your Herb-Roasted Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,166
Smoked Protein Bar,Snack,220.0,22.0,22.0,7.2,Vegetarian,1. Simply portion out your Smoked Protein Bar. 2. Store the rest in an airtight container for lasting freshness.,128
Garlic Protein Bar,Snack,220.0,21.0,26.4,6.6,Vegetarian,1. Simply portion out your Garlic Protein Bar. 2. Store the rest in an airtight container for lasting freshness.,135
Buttermilk Paneer Tikka,Dinner,490.0,19.8,14.4,37.5,Vegetarian,1. Cube the Buttermilk Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,179
Cheesy Black Beans,Lunch,154.0,8.4,22.0,0.0,Vegetarian,1. Gather your Cheesy Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,76
Teriyaki Quinoa,Lunch,275.0,8.4,62.4,3.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Teriyaki Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,184
Chipotle Quinoa,Lunch,264.0,8.4,42.9,3.9,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Chipotle Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,138
Honey Glazed Mixed Dal,Lunch,297.0,14.0,63.0,4.4,Vegetarian,1. Gather your Honey Glazed Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,204
Loaded Banana,Snack,168.0,1.3,40.5,0.0,Vegetarian,1. Simply portion out your Loaded Banana. 2. Store the rest in an airtight container for lasting freshness.,104
Cheesy Lentil Soup,Dinner,252.0,12.0,33.0,3.2,Vegetarian,1. Gather your Cheesy Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,120
BBQ Rice Cakes,Snack,104.0,2.0,24.0,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of BBQ Rice Cakes. 3. Simmer covered for 15-20 mins until fluffy.,65
Keto Banana,Snack,94.5,1.1,5.4,0.0,Vegetarian,1. Simply portion out your Keto Banana. 2. Store the rest in an airtight container for lasting freshness.,16
Honey Glazed Chia Seed Pudding,Breakfast,256.5,8.0,36.0,11.0,Vegetarian,1. Prepare the Honey Glazed Chia Seed Pudding base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,138
Garlic Caesar Salad,Lunch,330.0,10.5,18.0,24.2,Vegetarian,1. Gather your Garlic Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,132
Teriyaki Paneer,Dinner,400.0,18.9,8.0,25.0,Vegetarian,1. Cube the Teriyaki Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,130
Extra Lean White Rice,Lunch,164.0,4.8,44.0,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Extra Lean White Rice. 3. Simmer covered for 15-20 mins until fluffy.,122
Spicy Salmon Fillet,Dinner,420.0,34.0,0.0,29.4,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Spicy Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,158
Apple,Snack,95.0,0.5,25.0,0.3,Vegetarian,1. Simply portion out your Apple. 2. Store the rest in an airtight container for lasting freshness.,46
Keto Sweet Potato,Dinner,99.0,2.2,5.2,0.0,Vegetarian,1. Gather your Keto Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,18
Sweet & Sour Quinoa Bowl,Lunch,416.0,14.0,76.5,10.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Sweet & Sour Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,251
Sweet & Sour Brown Rice,Lunch,279.5,5.0,76.5,1.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Sweet & Sour Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,206
Cajun Protein Smoothie,Breakfast,230.0,25.0,16.5,3.4,Vegetarian,1. Prepare the Cajun Protein Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,112
Spicy Tofu,Lunch,147.0,15.0,2.2,8.4,Vegetarian,1. Cube the Spicy Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,64
Cajun Avocado Toast,Breakfast,287.5,6.0,26.4,17.2,Vegetarian,1. Prepare the Cajun Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,124
Sweet & Sour Oatmeal,Breakfast,195.0,5.0,45.9,3.0,Vegetarian,1. Prepare the Sweet & Sour Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,135
Honey Glazed Chicken Breast & Broccoli,Lunch,337.5,35.0,18.0,5.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Honey Glazed Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,146
Pancakes,Breakfast,250.0,6.0,35.0,10.0,Vegetarian,1. Prepare the Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,92
Cheesy Almonds,Snack,224.0,7.2,6.6,22.4,Vegetarian,1. Simply portion out your Cheesy Almonds. 2. Store the rest in an airtight container for lasting freshness.,90
Buttermilk Rice Cakes,Snack,112.0,2.2,19.2,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Buttermilk Rice Cakes. 3. Simmer covered for 15-20 mins until fluffy.,54
Edamame,Snack,120.0,11.0,10.0,5.0,Vegetarian,1. Simply portion out your Edamame. 2. Store the rest in an airtight container for lasting freshness.,47
Loaded Pork Chop & Mash,Dinner,880.0,45.5,60.0,45.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Loaded Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,376
Teriyaki Greek Yogurt,Breakfast,125.0,10.5,6.4,0.0,Vegetarian,1. Prepare the Teriyaki Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,42
Spicy Quinoa,Lunch,231.0,8.0,42.9,3.2,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Spicy Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,135
Lentil Soup,Lunch,200.0,12.0,25.0,3.0,Vegetarian,1. Gather your Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,100
Keto Vegetable Curry,Dinner,270.0,8.8,6.0,27.0,Vegetarian,1. Gather your Keto Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,104
Garlic Tofu,Lunch,154.0,15.8,2.4,8.8,Vegetarian,1. Cube the Garlic Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,68
Teriyaki Vegetable Curry,Dinner,375.0,8.4,48.0,15.0,Vegetarian,1. Gather your Teriyaki Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,178
Cajun Edamame,Snack,138.0,11.0,11.0,5.8,Vegetarian,1. Simply portion out your Cajun Edamame. 2. Store the rest in an airtight container for lasting freshness.,70
Teriyaki Tuna Sandwich,Lunch,500.0,29.4,56.0,15.0,Non-Vegetarian,1. Gather your Teriyaki Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,251
Extra Lean Bacon Strips,Breakfast,104.0,10.8,0.0,5.0,Non-Vegetarian,1. Prepare the Extra Lean Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,40
Keto Paneer Tikka,Dinner,315.0,19.8,2.4,45.0,Vegetarian,1. Cube the Keto Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,168
Buttermilk Edamame,Snack,168.0,12.1,12.0,7.5,Vegetarian,1. Simply portion out your Buttermilk Edamame. 2. Store the rest in an airtight container for lasting freshness.,79
Boiled Eggs,Snack,140.0,12.0,1.0,10.0,Non-Vegetarian,1. Simply portion out your Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,41
Smoked Paneer Tikka,Dinner,385.0,19.8,12.0,30.0,Vegetarian,1. Cube the Smoked Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,154
Buttermilk Tofu,Lunch,196.0,16.5,2.4,12.0,Vegetarian,1. Cube the Buttermilk Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,77
Herb-Roasted Black Beans,Lunch,126.5,7.4,21.0,0.0,Vegetarian,1. Gather your Herb-Roasted Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,71
Turkey Wrap,Lunch,350.0,25.0,35.0,12.0,Non-Vegetarian,1. Gather your Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,180
Garlic Scrambled Egg Whites,Breakfast,132.0,23.1,2.4,0.0,Non-Vegetarian,1. Prepare the Garlic Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,64
Keto Scrambled Eggs,Breakfast,126.0,13.2,0.2,18.0,Non-Vegetarian,1. Prepare the Keto Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,78
Chipotle Chicken Breast & Broccoli,Lunch,300.0,36.8,11.0,6.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Chipotle Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,136
Keto Paneer,Dinner,288.0,19.8,1.0,45.0,Vegetarian,1. Cube the Keto Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,164
Honey Glazed Steak,Dinner,675.0,40.0,0.0,38.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Honey Glazed Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,196
Herb-Roasted Chicken Shawarma,Lunch,517.5,31.5,42.0,21.6,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Herb-Roasted Chicken Shawarma to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,238
Lemon Pepper Boiled Eggs,Snack,142.8,12.6,1.0,10.0,Non-Vegetarian,1. Simply portion out your Lemon Pepper Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,59
Smoked Tofu Scramble,Breakfast,176.0,15.4,4.0,12.0,Vegetarian,1. Cube the Smoked Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,78
Loaded Protein Smoothie,Breakfast,320.0,32.5,22.5,5.4,Vegetarian,1. Prepare the Loaded Protein Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,151
Keto Peanut Butter Toast,Snack,198.0,8.8,4.0,21.6,Vegetarian,1. Simply portion out your Keto Peanut Butter Toast. 2. Store the rest in an airtight container for lasting freshness.,86
Honey Glazed Scrambled Egg Whites,Breakfast,162.0,22.0,3.6,0.0,Non-Vegetarian,1. Prepare the Honey Glazed Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,64
BBQ Black Beans,Lunch,143.0,7.0,30.0,0.0,Vegetarian,1. Gather your BBQ Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,92
Extra Lean Oatmeal,Breakfast,120.0,6.0,27.0,1.5,Vegetarian,1. Prepare the Extra Lean Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,86
Garlic Tuna Sandwich,Lunch,440.0,29.4,42.0,16.5,Non-Vegetarian,1. Gather your Garlic Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,220
